Firm,Revenue,Person Name,Title,Location
Cherry Bekaert LLP,$300M+,Michelle Thompson,CEO/Managing Partner,Raleigh, NC
Cherry Bekaert LLP,$300M+,Ame Lewis,Chief Financial Officer,Raleigh, NC
Cherry Bekaert LLP,$300M+,Kurt Taves,Chief Operating Officer,Virginia Beach, VA
Cherry Bekaert LLP,$300M+,Dan Wheadon,CFO Advisory Leader,Raleigh, NC
Carr, Riggs & Ingram,$300-500M,Chad Pinson,CEO,Enterprise, AL
Carr, Riggs & Ingram,$300-500M,Jean Mathews,Chief Financial Officer,Enterprise, AL
Carr, Riggs & Ingram,$300-500M,Patrick Gordon,Chief Legal Officer,Enterprise, AL
Carr, Riggs & Ingram,$300-500M,LaDonna Lewis,Partner/President – CEO Paywerx,
KBKG,$100-150M,Jason Melillo,Chief Executive Officer,Pasadena, CA
KBKG,$100-150M,Gian Pazzia,Chairman & Chief Strategy Officer,Pasadena, CA
KBKG,$100-150M,Donna Bateman,Chief Financial Officer,Pasadena, CA
KBKG,$100-150M,Greg Kniss,Chairman of the Board,
Source Advisors,$100-150M,Tim Whipple,Chief Executive Officer,Fort Worth, TX
Source Advisors,$100-150M,Chris Henderson,Chairman of the Board,Fort Worth, TX
Source Advisors,$100-150M,Jason Paru,Chief Financial Officer,Fort Worth, TX
Source Advisors,$100-150M,Jason Wilcox,Chief Technology Officer,
Calvetti Ferguson,$75-100M,Jason Ferguson,Managing Partner,Houston, TX
Calvetti Ferguson,$75-100M,Brad Cummings,Dallas Office Managing Partner,Dallas, TX
Calvetti Ferguson,$75-100M,Karlen Alexander,Chief Information Officer,
Calvetti Ferguson,$75-100M,Emily Martin,VP Marketing,
Swanson Reed,Undisclosed,Damian Smyth,Chief Executive Officer,Brisbane, AU
SD Mayer & Associates,>$10M,Stephen D. Mayer,Founder & Managing Partner,San Francisco, CA
R&D Tax Savers,Undisclosed,Charles R. Goulding,President & Founder,Syosset, NY
Veritax Advisors,Undisclosed,A. Chris Ostler,Founder & Chief Executive Officer,St. George, UT
Anchin Block & Anchin LLP,$101M,Russell B. Shinsky,Managing Partner,New York, NY
Anchin Block & Anchin LLP,$101M,David Emmer,Chief Innovation & Information Officer,New York, NY
BerryDunn,$100-500M,Sarah L. Belliveau,Chief Executive Officer,Portland, ME
BerryDunn,$100-500M,Esther Campbell,Chief Technology Officer,Portland, ME
BerryDunn,$100-500M,Trudi Bakke,Chief Financial Officer,Portland, ME
PKF O’Connor Davies,$99M,Kevin J. Keane,Chief Executive Officer,New York, NY
PKF O’Connor Davies,$99M,Christopher P. McPhee,Chief Information Officer,New York, NY
PKF O’Connor Davies,$99M,Steve Antico,Chief Digital Officer,New Jersey
Kearney & Company,>$250M,Ed Kearney,Chief Executive Officer,Alexandria, VA
Kearney & Company,>$250M,Brian E. Kearney,Chief Operating Officer,Alexandria, VA
Kearney & Company,>$250M,Sanjeev Nehra,Chief Information Officer,Alexandria, VA
Tri-Merit,Undisclosed,Randy Crabtree,Co-Founder & Partner,Schaumburg, IL
Tri-Merit,Undisclosed,Andy Lane,Managing Partner,Schaumburg, IL
Tri-Merit,Undisclosed,Nicholas Pantaleo,Partner & CFO,Schaumburg, IL
Ayming USA,$24M,Thomas Folsom,Managing Partner (USA),Houston, TX
Ayming USA,$24M,Hervé Amar,Group President,Paris, FR
Ayming USA,$24M,Denis Blanc,Group CEO,Paris, FR

